reading lattice from... ./Lattices/sqKgridX100.npy
reading lattice from... ./Lattices/sqKgridY100.npy
started calculating filling for chemical potential and dispersion parameters TB_single_band..
reading lattice from... ./Lattices/KgridX400.npy
reading lattice from... ./Lattices/KgridY400.npy
reading lattice from... ./Lattices/KgridX400.npy
reading lattice from... ./Lattices/KgridY400.npy
finished calculating filling for chemical potential
Filling: 0.5021914101708863 .... chemical potential: 29.41164495334965
dispersion params: 54.93230174081238 	 -10.444874274661508
The fermi energy in mev is: 3064.1164088176356, and in units of J: 296.3362097502549, the bandwidth is:494.39071566731144
reading lattice from... ./Lattices/KgridX8000.npy
reading lattice from... ./Lattices/KgridY8000.npy
reading lattice from... ./Lattices/sqKgridX8000.npy
reading lattice from... ./Lattices/sqKgridY8000.npy
412 the fermi surface points 9 numtheads
starting with calculation of Sigma
106.29755449295044  seconds  2.4732452258771103 1.343763581051717 0.001
107.36133694648743  seconds  2.4732452258771103 1.343763581051717 0.18448979591836737
108.60250687599182  seconds  2.4732452258771103 1.343763581051717 0.36797959183673473
107.59927010536194  seconds  2.4732452258771103 1.343763581051717 0.551469387755102
100.36832427978516  seconds  2.4732452258771103 1.343763581051717 0.7349591836734695
108.48120331764221  seconds  2.4732452258771103 1.343763581051717 0.9184489795918368
108.75980138778687  seconds  2.4732452258771103 1.343763581051717 0.021387755102040818
108.64026355743408  seconds  2.4732452258771103 1.343763581051717 0.20487755102040817
96.90485143661499  seconds  2.4732452258771103 1.343763581051717 0.7553469387755103
107.89184617996216  seconds  2.4732452258771103 1.343763581051717 0.3883673469387755
109.05242562294006  seconds  2.4732452258771103 1.343763581051717 0.5718571428571428
107.43404340744019  seconds  2.4732452258771103 1.343763581051717 0.9388367346938776
108.81659293174744  seconds  2.4732452258771103 1.343763581051717 0.041775510204081635
97.2345461845398  seconds  2.4732452258771103 1.343763581051717 0.775734693877551
108.83185243606567  seconds  2.4732452258771103 1.343763581051717 0.225265306122449
108.66714143753052  seconds  2.4732452258771103 1.343763581051717 0.40875510204081633
107.40682101249695  seconds  2.4732452258771103 1.343763581051717 0.5922448979591837
108.60632801055908  seconds  2.4732452258771103 1.343763581051717 0.9592244897959185
96.90122032165527  seconds  2.4732452258771103 1.343763581051717 0.7961224489795918
108.95209312438965  seconds  2.4732452258771103 1.343763581051717 0.062163265306122456
107.93202805519104  seconds  2.4732452258771103 1.343763581051717 0.24565306122448982
108.78345990180969  seconds  2.4732452258771103 1.343763581051717 0.42914285714285716
108.13464522361755  seconds  2.4732452258771103 1.343763581051717 0.6126326530612245
108.7826178073883  seconds  2.4732452258771103 1.343763581051717 0.9796122448979593
97.26990294456482  seconds  2.4732452258771103 1.343763581051717 0.8165102040816327
108.62805938720703  seconds  2.4732452258771103 1.343763581051717 0.08255102040816327
108.33656215667725  seconds  2.4732452258771103 1.343763581051717 0.26604081632653065
107.74570107460022  seconds  2.4732452258771103 1.343763581051717 0.449530612244898
108.16679263114929  seconds  2.4732452258771103 1.343763581051717 0.6330204081632653
108.30687046051025  seconds  2.4732452258771103 1.343763581051717 1.0
96.89840412139893  seconds  2.4732452258771103 1.343763581051717 0.8368979591836735
106.272057056427  seconds  2.4732452258771103 1.343763581051717 0.10293877551020408
106.46371364593506  seconds  2.4732452258771103 1.343763581051717 0.2864285714285714
106.00196170806885  seconds  2.4732452258771103 1.343763581051717 0.4699183673469388
104.93622708320618  seconds  2.4732452258771103 1.343763581051717 0.6534081632653062
96.78262853622437  seconds  2.4732452258771103 1.343763581051717 0.8572857142857143
105.87206435203552  seconds  2.4732452258771103 1.343763581051717 0.12332653061224491
105.84543180465698  seconds  2.4732452258771103 1.343763581051717 0.30681632653061225
106.46302843093872  seconds  2.4732452258771103 1.343763581051717 0.49030612244897964
105.45298671722412  seconds  2.4732452258771103 1.343763581051717 0.673795918367347
97.26541113853455  seconds  2.4732452258771103 1.343763581051717 0.8776734693877551
104.87775731086731  seconds  2.4732452258771103 1.343763581051717 0.1437142857142857
105.27983450889587  seconds  2.4732452258771103 1.343763581051717 0.3272040816326531
105.83896970748901  seconds  2.4732452258771103 1.343763581051717 0.5106938775510205
105.67661547660828  seconds  2.4732452258771103 1.343763581051717 0.6941836734693878
97.2370719909668  seconds  2.4732452258771103 1.343763581051717 0.898061224489796
104.85745167732239  seconds  2.4732452258771103 1.343763581051717 0.16410204081632654
104.64245080947876  seconds  2.4732452258771103 1.343763581051717 0.3475918367346939
104.52964973449707  seconds  2.4732452258771103 1.343763581051717 0.5310816326530613
103.24428987503052  seconds  2.4732452258771103 1.343763581051717 0.7145714285714286
time for calc.... 994.4971947669983
Successfully created the directory dir_T_8.0_fit_SF_func_2021-11-07-13:35:42 
 plotting data from the run ...
saving data from the run ...
3946.35user 1393.21system 16:42.61elapsed 532%CPU (0avgtext+0avgdata 35795872maxresident)k
0inputs+864outputs (65major+39122514minor)pagefaults 0swaps
